FIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
36005,2.5102,0.4665,3.6512,1.057,2.7436,2.968,4.4511,8.652,13.5445,15.8682,29.7755,84.5127,146.5072,94.8927,148.896,165.4275,185.1912,171.1108,145.7064,106.1412,64.538,44.4264,27.886,30.2101,18.3488,14.364,8.4448,5.4384,3.392,3.6395,3.5728,1.7214,1.573
36047,2.7874,0.6375,4.424,1.589,3.6632,4.024,5.1282,12.36,18.4363,23.6274,47.46,123.2604,206.6036,127.0857,179.344,192.1425,205.768,255.8691,214.5122,160.089,128.018,62.0032,39.919,49.2701,28.8408,26.6133,11.7376,8.7824,4.8384,5.336,4.088,2.3313,1.936
36061,1.4399,0.273,2.0608,0.6545,1.596,1.672,2.3976,5.5826,6.7591,10.4622,21.244,49.2228,83.0326,67.9119,83.424,93.708,118.1432,119.2993,109.5689,70.176,52.9,27.5416,19.5775,23.1579,12.1024,11.2917,5.0176,3.7664,2.7008,2.3055,2.2624,1.0488,1.0527
36081,2.1329,0.45,2.9904,1.4315,3.6328,4.296,6.3159,14.0698,16.569,22.4826,48.6465,135.4644,207.6704,116.9679,190.784,196.047,193.7456,239.13,227.8108,146.0538,114.0524,64.6328,44.0255,50.4137,32.696,26.3739,14.4704,9.0816,5.6192,5.5825,4.9056,2.4966,2.4079
36085,0.385,0.069,0.392,0.182,0.4712,0.512,0.5439,1.2566,1.6832,3.021,6.441,19.0179,29.5148,20.5422,21.824,25.893,20.1144,25.7729,25.4408,22.1493,15.4468,8.4424,5.0615,6.671,4.4408,3.5511,2.1952,1.0208,0.7936,0.667,0.392,0.3249,0.2299
