Date,State,Count
2016-10-21,WA,102
2016-10-28,NSW,308
2016-10-28,NT,20
2016-10-28,Qld,288
2016-10-28,SA,286
2016-10-28,Tas,10
2016-10-28,Vic,238
2016-10-28,WA,72
2016-11-04,NSW,221
2016-11-04,NT,11
2016-11-04,Qld,224
2016-11-04,SA,334
2016-11-04,Tas,8
2016-11-04,Vic,228
2016-11-04,WA,65
2016-11-11,NSW,169
2016-11-11,NT,4
2016-11-11,Qld,127
2016-11-11,SA,291
2016-11-11,Tas,9
2016-11-11,Vic,148
2016-11-11,WA,30
2016-11-18,NSW,111
2016-11-18,NT,5
2016-11-18,Qld,94
2016-11-18,SA,225
2016-11-18,Tas,24
2016-11-18,Vic,99
2016-11-18,WA,26
2016-11-25,NSW,72
2016-11-25,NT,4
2016-11-25,Qld,81
2016-11-25,SA,185
2016-11-25,Tas,11
2016-11-25,Vic,70
2016-11-25,WA,31
2016-12-02,NSW,32
2016-12-02,NT,10
2016-12-02,Qld,126
2016-12-02,SA,167
2016-12-02,Tas,6
2016-12-02,Vic,53
2016-12-02,WA,20
2016-12-09,NSW,53
2016-12-09,NT,15
2016-12-09,Qld,110
2016-12-09,SA,156
2016-12-09,Tas,0
2016-12-09,Vic,50
2016-12-09,WA,19
2016-12-16,NSW,11
2016-12-16,NT,8
2016-12-16,Qld,70
2016-12-16,SA,73
2016-12-16,Tas,4
2016-12-16,Vic,81
2016-12-16,WA,23
2016-12-23,NSW,38
2016-12-23,NT,14
2016-12-23,Qld,63
2016-12-23,SA,74
2016-12-23,Tas,4
2016-12-23,Vic,102
2016-12-23,WA,15
2016-12-30,NSW,0
2016-12-30,NT,13
2016-12-30,Qld,0
2016-12-30,SA,33
2016-12-30,Tas,6
2016-12-30,Vic,67
2016-12-30,WA,0
