FIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
36005,1.0619,0.7511,0.1876,1.205,1.034,1.2054,0.7956,2.384,3.969,3.8892,3.1785,3.354,6.994,3.8048,9.9849,13.2158,22.1188,37.6251,59.7168,91.698,119.201,167.5968,185.674,123.5928,88.2183,67.3785,40.6714,34.2082,26.84,10.9416,7.2036,4.6646,1.302
36047,1.0906,0.8352,0.2023,1.39,1.3244,1.2852,0.7462,2.84,3.969,4.1664,3.1005,3.0615,6.942,4.1876,10.6074,14.3312,23.0384,45.8861,62.8488,109.446,141.688,230.9444,234.188,155.6105,119.872,70.7265,45.5364,39.0403,35.6972,13.4984,9.3438,5.6938,1.204
36061,0.5617,0.4205,0.1169,0.68,0.5412,0.5964,0.3926,1.368,1.818,1.7136,1.4625,1.5405,3.133,2.088,6.0009,7.1656,12.342,23.9569,35.1828,60.3432,90.147,108.489,96.52,86.2015,66.3042,38.223,25.5899,19.5585,18.4525,7.3696,5.2461,3.403,0.77
36081,1.5252,1.1629,0.2744,1.94,1.9184,1.9572,1.3208,4.832,5.985,6.2664,5.018,5.7265,11.076,7.2268,15.189,21.463,32.3796,57.3013,78.4044,134.7369,179.1,276.0858,260.35,186.7326,142.348,72.54,35.028,29.9897,26.5716,11.092,6.9165,4.1832,0.994
36085,0.0697,0.0406,0.0266,0.095,0.0748,0.063,0.0624,0.176,0.171,0.2184,0.247,0.494,1.391,0.8352,1.9422,2.2984,5.0336,7.8855,12.9456,18.9312,22.686,30.6762,33.528,24.8529,25.0982,14.3685,11.676,7.7467,6.7771,2.2936,1.4877,1.0458,0.28
